t  T_surf   M_Europa   M_loss   R_Europa   Density
   100.000000       258.064270       1.73370884E+19   0.00000000       111324.023       3000.00000
   100.000000       258.064270       1.73370884E+19   0.00000000       111324.023       3000.00000    
   200.000000       259.017944       2.21078055E+19   0.00000000       120719.891       3000.00000    
   300.000000       259.780884       2.68785227E+19   0.00000000       128844.391       3000.00000    
   400.000000       260.448456       3.16492399E+19   0.00000000       136056.172       3000.00000    
   500.000000       261.116028       3.64199571E+19   0.00000000       142575.109       3000.00000    
   600.000000       261.592865       4.11906743E+19   0.00000000       148546.906       3000.00000    
   700.000000       262.069702       4.59613892E+19   0.00000000       154073.672       3000.00000    
   800.000000       262.451172       5.07321086E+19   0.00000000       159230.078       3000.00000    
   900.000000       262.832642       5.55028280E+19   0.00000000       164072.547       3000.00000    
   1000.00000       263.214111       6.02735474E+19   0.00000000       168644.906       3000.00000    
   1100.00000       263.500214       6.50442668E+19   0.00000000       172981.922       3000.00000    
   1200.00000       263.833984       6.98149861E+19   0.00000000       177111.734       3000.00000    
   1300.00000       264.072418       7.45857055E+19   0.00000000       181057.453       3000.00000    
   1400.00000       264.358521       7.93564249E+19   0.00000000       184838.312       3000.00000    
   1500.00000       264.596924       8.41271443E+19   0.00000000       188470.516       3000.00000    
   1600.00000       264.835358       8.88978637E+19   0.00000000       191967.875       3000.00000    
   1700.00000       265.026093       9.36685830E+19   0.00000000       195342.250       3000.00000    
   1800.00000       265.216827       9.84393024E+19   0.00000000       198603.906       3000.00000    
   1900.00000       265.407562       1.03210022E+20   0.00000000       201761.812       3000.00000    
   2000.00000       265.598297       1.07980741E+20   0.00000000       204823.859       3000.00000    
   2100.00000       265.789032       1.12751461E+20   0.00000000       207796.984       3000.00000    
   2200.00000       265.932068       1.17522180E+20   0.00000000       210687.391       3000.00000    
   2300.00000       266.075134       1.22292899E+20   0.00000000       213500.594       3000.00000    
   2400.00000       266.218201       1.27063619E+20   0.00000000       216241.562       3000.00000    
   2500.00000       266.361237       1.31834338E+20   0.00000000       218914.750       3000.00000    
   2600.00000       266.504272       1.36605057E+20   0.00000000       221524.203       3000.00000    
   2700.00000       266.647339       1.41375777E+20   0.00000000       224073.594       3000.00000    
   2800.00000       266.742706       1.46146496E+20   0.00000000       226566.266       3000.00000    
   2900.00000       266.885742       1.50917207E+20   0.00000000       229005.266       3000.00000    
   3000.00000       266.981140       1.55687926E+20   0.00000000       231393.391       3000.00000    
   3100.00000       267.076477       1.60458646E+20   0.00000000       233733.219       3000.00000    
   3200.00000       267.219543       1.65229365E+20   0.00000000       236027.109       3000.00000    
   3300.00000       267.314911       1.70000084E+20   0.00000000       238277.266       3000.00000    
   3400.00000       267.410278       1.74770804E+20   0.00000000       240485.719       3000.00000    
   3500.00000       267.505646       1.79541523E+20   0.00000000       242654.328       3000.00000    
   3600.00000       267.577179       1.84312242E+20   0.00000000       244784.859       3000.00000    
   3700.00000       267.648682       1.89082962E+20   0.00000000       246878.938       3000.00000    
   3800.00000       267.744080       1.93853681E+20   0.00000000       248938.078       3000.00000    
   3900.00000       267.839417       1.98624401E+20   0.00000000       250963.719       3000.00000    
   4000.00000       267.910950       2.03395120E+20   0.00000000       252957.172       3000.00000    
   4100.00000       267.982483       2.08165839E+20   0.00000000       254919.703       3000.00000    
   4200.00000       268.077850       2.12936559E+20   0.00000000       256852.469       3000.00000    
   4300.00000       268.125549       2.17707278E+20   0.00000000       258756.578       3000.00000    
   4400.00000       268.220886       2.22477998E+20   0.00000000       260633.078       3000.00000    
   4500.00000       268.268585       2.27248717E+20   0.00000000       262482.938       3000.00000    
   4600.00000       268.340118       2.32019436E+20   0.00000000       264307.062       3000.00000    
   4700.00000       268.411621       2.36790156E+20   0.00000000       266106.375       3000.00000    
   4800.00000       268.459320       2.41560875E+20   0.00000000       267881.688       3000.00000    
   4900.00000       268.530853       2.46331594E+20   0.00000000       269633.750       3000.00000    
   5000.00000       268.602356       2.51102314E+20   0.00000000       271363.344       3000.00000    
   5100.00000       268.650055       2.55873033E+20   0.00000000       273071.156       3000.00000    
   5200.00000       268.697754       2.60643753E+20   0.00000000       274757.875       3000.00000    
   5300.00000       268.769257       2.65414472E+20   0.00000000       276424.156       3000.00000    
   5400.00000       268.816956       2.70185191E+20   0.00000000       278070.594       3000.00000    
   5500.00000       268.864624       2.74955911E+20   0.00000000       279697.750       3000.00000    
   5600.00000       268.936157       2.79726630E+20   0.00000000       281306.188       3000.00000    
   5700.00000       268.983826       2.84497349E+20   0.00000000       282896.438       3000.00000    
   5800.00000       269.031525       2.89268069E+20   0.00000000       284469.031       3000.00000    
   5900.00000       269.079224       2.94038788E+20   0.00000000       286024.406       3000.00000    
   6000.00000       269.126892       2.98809508E+20   0.00000000       287563.062       3000.00000    
   6100.00000       269.174561       3.03580227E+20   0.00000000       289085.438       3000.00000    
   6200.00000       269.222260       3.08350946E+20   0.00000000       290591.938       3000.00000    
   6300.00000       269.246094       3.13121666E+20   0.00000000       292082.969       3000.00000    
   6400.00000       269.293793       3.17892385E+20   0.00000000       293558.938       3000.00000    
   6500.00000       269.341461       3.22663104E+20   0.00000000       295020.219       3000.00000    
   6600.00000       269.365295       3.27433824E+20   0.00000000       296467.156       3000.00000    
   6700.00000       269.412994       3.32204543E+20   0.00000000       297900.125       3000.00000    
   6800.00000       269.460693       3.36975263E+20   0.00000000       299319.438       3000.00000    
   6900.00000       269.508362       3.41745982E+20   0.00000000       300725.406       3000.00000    
   7000.00000       269.532196       3.46516701E+20   0.00000000       302118.375       3000.00000    
   7100.00000       269.579895       3.51287421E+20   0.00000000       303498.594       3000.00000    
   7200.00000       269.603729       3.56058140E+20   0.00000000       304866.375       3000.00000    
   7300.00000       269.651428       3.60828860E+20   0.00000000       306222.000       3000.00000    
   7400.00000       269.675262       3.65599579E+20   0.00000000       307565.719       3000.00000    
   7500.00000       269.722931       3.70370298E+20   0.00000000       308897.812       3000.00000    
   7600.00000       269.746765       3.75141018E+20   0.00000000       310218.500       3000.00000    
   7700.00000       269.794464       3.79911737E+20   0.00000000       311528.062       3000.00000    
   7800.00000       269.818298       3.84682456E+20   0.00000000       312826.688       3000.00000    
   7900.00000       269.842163       3.89453176E+20   0.00000000       314114.625       3000.00000    
   8000.00000       269.889832       3.94223895E+20   0.00000000       315392.094       3000.00000    
   8100.00000       269.913666       3.98994615E+20   0.00000000       316659.312       3000.00000    
   8200.00000       269.937500       4.03765334E+20   0.00000000       317916.469       3000.00000    
   8300.00000       269.985199       4.08536053E+20   0.00000000       319163.750       3000.00000    
   8400.00000       270.009033       4.13306773E+20   0.00000000       320401.375       3000.00000    
   8500.00000       270.032898       4.18077492E+20   0.00000000       321629.500       3000.00000    
   8600.00000       270.056732       4.22848211E+20   0.00000000       322848.312       3000.00000    
   8700.00000       270.080566       4.27618931E+20   0.00000000       324058.000       3000.00000    
   8800.00000       270.128235       4.32389650E+20   0.00000000       325258.719       3000.00000    
   8900.00000       270.152100       4.37160370E+20   0.00000000       326450.656       3000.00000    
   9000.00000       270.175934       4.41931089E+20   0.00000000       327633.938       3000.00000    
   9100.00000       270.199768       4.46701808E+20   0.00000000       328808.750       3000.00000    
   9200.00000       270.223633       4.51472528E+20   0.00000000       329975.219       3000.00000    
   9300.00000       270.247467       4.56243247E+20   0.00000000       331133.500       3000.00000    
   9400.00000       270.271301       4.61013967E+20   0.00000000       332283.719       3000.00000    
   9500.00000       270.295135       4.65784686E+20   0.00000000       333426.062       3000.00000    
   9600.00000       270.318970       4.70555405E+20   0.00000000       334560.625       3000.00000    
   9700.00000       270.342834       4.75326125E+20   0.00000000       335687.531       3000.00000    
   9800.00000       270.366669       4.80096844E+20   0.00000000       336806.906       3000.00000    
   9900.00000       270.390503       4.84867563E+20   0.00000000       337918.906       3000.00000    
   10000.0000       270.414368       4.89638283E+20   0.00000000       339023.656       3000.00000    
   10100.0000       270.438202       4.94409002E+20   0.00000000       340121.250       3000.00000    
   10200.0000       270.462036       4.99179722E+20   0.00000000       341211.812       3000.00000    
   10300.0000       270.485870       5.03950441E+20   0.00000000       342295.438       3000.00000    
   10400.0000       270.509705       5.08721160E+20   0.00000000       343372.250       3000.00000    
   10500.0000       270.533569       5.13491880E+20   0.00000000       344442.344       3000.00000    
   10600.0000       270.557404       5.18262599E+20   0.00000000       345505.844       3000.00000    
   10700.0000       270.581238       5.23033318E+20   0.00000000       346562.812       3000.00000    
   10800.0000       270.605103       5.27804038E+20   0.00000000       347613.375       3000.00000    
   10900.0000       270.605103       5.32574757E+20   0.00000000       348657.625       3000.00000    
   11000.0000       270.628937       5.37345477E+20   0.00000000       349695.656       3000.00000    
   11100.0000       270.652771       5.42116196E+20   0.00000000       350727.562       3000.00000    
   11200.0000       270.676605       5.46886915E+20   0.00000000       351753.438       3000.00000    
   11300.0000       270.700439       5.51657635E+20   0.00000000       352773.375       3000.00000    
   11400.0000       270.724304       5.56428354E+20   0.00000000       353787.438       3000.00000    
   11500.0000       270.724304       5.61199074E+20   0.00000000       354795.719       3000.00000    
   11600.0000       270.748138       5.65969793E+20   0.00000000       355798.312       3000.00000    
   11700.0000       270.771973       5.70740512E+20   0.00000000       356795.312       3000.00000    
   11800.0000       270.795837       5.75511232E+20   0.00000000       357786.750       3000.00000    
   11900.0000       270.795837       5.80281951E+20   0.00000000       358772.719       3000.00000    
   12000.0000       270.819672       5.85052670E+20   0.00000000       359753.312       3000.00000    
   12100.0000       270.843506       5.89823390E+20   0.00000000       360728.594       3000.00000    
   12200.0000       270.867340       5.94594074E+20   0.00000000       361698.625       3000.00000    
   12300.0000       270.867340       5.99364793E+20   0.00000000       362663.469       3000.00000    
   12400.0000       270.891174       6.04135513E+20   0.00000000       363623.219       3000.00000    
   12500.0000       270.915039       6.08906232E+20   0.00000000       364577.938       3000.00000    
   12600.0000       270.915039       6.13676952E+20   0.00000000       365527.688       3000.00000    
   12700.0000       270.938873       6.18447671E+20   0.00000000       366472.531       3000.00000    
   12800.0000       270.962708       6.23218390E+20   0.00000000       367412.500       3000.00000    
   12900.0000       270.974640       6.27989110E+20   0.00000000       368347.688       3000.00000    
   13000.0000       270.986572       6.32759829E+20   0.00000000       369278.156       3000.00000    
   13100.0000       271.010406       6.37530548E+20   0.00000000       370203.969       3000.00000    
   13200.0000       271.022339       6.42301268E+20   0.00000000       371125.188       3000.00000    
   13300.0000       271.034241       6.47071987E+20   0.00000000       372041.844       3000.00000    
   13400.0000       271.058075       6.51842707E+20   0.00000000       372954.000       3000.00000    
   13500.0000       271.058075       6.56613426E+20   0.00000000       373861.719       3000.00000    
   13600.0000       271.081909       6.61384145E+20   0.00000000       374765.062       3000.00000    
   13700.0000       271.105774       6.66154865E+20   0.00000000       375664.062       3000.00000    
   13800.0000       271.105774       6.70925584E+20   0.00000000       376558.781       3000.00000    
   13900.0000       271.129608       6.75696303E+20   0.00000000       377449.281       3000.00000    
   14000.0000       271.141541       6.80467023E+20   0.00000000       378335.594       3000.00000    
   14100.0000       271.153442       6.85237742E+20   0.00000000       379217.781       3000.00000    
   14200.0000       271.177307       6.90008462E+20   0.00000000       380095.875       3000.00000    
   14300.0000       271.177307       6.94779181E+20   0.00000000       380969.938       3000.00000    
   14400.0000       271.201141       6.99549900E+20   0.00000000       381840.000       3000.00000    
   14500.0000       271.201141       7.04320620E+20   0.00000000       382706.125       3000.00000    
   14600.0000       271.224976       7.09091339E+20   0.00000000       383568.344       3000.00000    
   14700.0000       271.236877       7.13862058E+20   0.00000000       384426.688       3000.00000    
   14800.0000       271.248810       7.18632778E+20   0.00000000       385281.219       3000.00000    
   14900.0000       271.260742       7.23403497E+20   0.00000000       386132.000       3000.00000    
   15000.0000       271.272644       7.28174217E+20   0.00000000       386979.031       3000.00000    
   15100.0000       271.296509       7.32944936E+20   0.00000000       387822.375       3000.00000    
   15200.0000       271.296509       7.37715655E+20   0.00000000       388662.062       3000.00000    
   15300.0000       271.320343       7.42486375E+20   0.00000000       389498.156       3000.00000    
   15400.0000       271.320343       7.47257094E+20   0.00000000       390330.656       3000.00000    
   15500.0000       271.344177       7.52027814E+20   0.00000000       391159.625       3000.00000    
   15600.0000       271.344177       7.56798533E+20   0.00000000       391985.094       3000.00000    
   15700.0000       271.368042       7.61569252E+20   0.00000000       392807.125       3000.00000    
   15800.0000       271.368042       7.66339972E+20   0.00000000       393625.719       3000.00000    
   15900.0000       271.391876       7.71110691E+20   0.00000000       394440.938       3000.00000    
   16000.0000       271.391876       7.75881410E+20   0.00000000       395252.781       3000.00000    
   16100.0000       271.415710       7.80652130E+20   0.00000000       396061.312       3000.00000    
   16200.0000       271.415710       7.85422849E+20   0.00000000       396866.562       3000.00000    
   16300.0000       271.439545       7.90193569E+20   0.00000000       397668.562       3000.00000    
   16400.0000       271.439545       7.94964288E+20   0.00000000       398467.312       3000.00000    
   16500.0000       271.463379       7.99735007E+20   0.00000000       399262.906       3000.00000    
