t;T_surf;M_Europa;M_loss;R_Europa;Density
100.000000;274.177551;1.41566102E+19;0.00000000;104051.883;3000.00000
200.000000;274.383545;1.57468493E+19;0.00000000;107810.617;3000.00000
300.000000;274.486542;1.73370884E+19;0.00000000;111324.086;3000.00000
400.000000;274.589539;1.89273274E+19;0.00000000;114628.773;3000.00000
500.000000;274.692535;2.05175665E+19;0.00000000;117753.172;3000.00000
600.000000;274.795532;2.21078055E+19;0.00000000;120720.023;3000.00000
700.000000;274.795532;2.36980446E+19;0.00000000;123547.805;3000.00000
800.000000;274.898529;2.52882837E+19;0.00000000;126251.750;3000.00000
900.000000;275.001526;2.68785227E+19;0.00000000;128844.586;3000.00000
1000.00000;275.001526;2.84687618E+19;0.00000000;131337.078;3000.00000
1100.00000;275.104523;3.00590008E+19;0.00000000;133738.391;3000.00000
1200.00000;275.104523;3.16492399E+19;0.00000000;136056.438;3000.00000
1300.00000;275.207520;3.32394790E+19;0.00000000;138298.078;3000.00000
1400.00000;275.207520;3.48297180E+19;0.00000000;140469.328;3000.00000
1500.00000;275.310516;3.64199571E+19;0.00000000;142575.453;3000.00000
1600.00000;275.310516;3.80101961E+19;0.00000000;144621.125;3000.00000
1700.00000;275.413513;3.96004330E+19;0.00000000;146610.516;3000.00000
1800.00000;275.413513;4.11906699E+19;0.00000000;148547.328;3000.00000
1900.00000;275.413513;4.27809067E+19;0.00000000;150434.922;3000.00000
2000.00000;275.413513;4.43711436E+19;0.00000000;152276.297;3000.00000
2100.00000;275.516510;4.59613804E+19;0.00000000;154074.188;3000.00000
2200.00000;275.516510;4.75516173E+19;0.00000000;155831.062;3000.00000
2300.00000;275.516510;4.91418542E+19;0.00000000;157549.203;3000.00000
2400.00000;275.619507;5.07320910E+19;0.00000000;159230.672;3000.00000
2500.00000;275.619507;5.23223279E+19;0.00000000;160877.359;3000.00000
2600.00000;275.619507;5.39125648E+19;0.00000000;162491.000;3000.00000
2700.00000;275.619507;5.55028016E+19;0.00000000;164073.219;3000.00000
2800.00000;275.722504;5.70930385E+19;0.00000000;165625.500;3000.00000
2900.00000;275.722504;5.86832753E+19;0.00000000;167149.219;3000.00000
3000.00000;275.722504;6.02735122E+19;0.00000000;168645.656;3000.00000
3100.00000;275.722504;6.18637491E+19;0.00000000;170116.000;3000.00000
3200.00000;275.722504;6.34539859E+19;0.00000000;171561.359;3000.00000
3300.00000;275.825500;6.50442228E+19;0.00000000;172982.766;3000.00000
3400.00000;275.825500;6.66344596E+19;0.00000000;174381.188;3000.00000
3500.00000;275.825500;6.82246965E+19;0.00000000;175757.547;3000.00000
3600.00000;275.825500;6.98149334E+19;0.00000000;177112.672;3000.00000
3700.00000;275.825500;7.14051702E+19;0.00000000;178447.375;3000.00000
3800.00000;275.877014;7.29954071E+19;0.00000000;179762.406;3000.00000
3900.00000;275.928497;7.45856439E+19;0.00000000;181058.484;3000.00000
4000.00000;275.928497;7.61758808E+19;0.00000000;182336.266;3000.00000
4100.00000;275.928497;7.77661177E+19;0.00000000;183596.391;3000.00000
4200.00000;275.928497;7.93563545E+19;0.00000000;184839.453;3000.00000
4300.00000;275.928497;8.09465914E+19;0.00000000;186066.016;3000.00000
4400.00000;275.928497;8.25368283E+19;0.00000000;187276.609;3000.00000
4500.00000;275.979980;8.41270651E+19;0.00000000;188471.750;3000.00000
4600.00000;275.979980;8.57173020E+19;0.00000000;189651.938;3000.00000
4700.00000;276.031494;8.73075388E+19;0.00000000;190817.609;3000.00000
4800.00000;276.031494;8.88977757E+19;0.00000000;191969.219;3000.00000
4900.00000;276.031494;9.04880126E+19;0.00000000;193107.172;3000.00000
5000.00000;276.031494;9.20782494E+19;0.00000000;194231.875;3000.00000
5100.00000;276.031494;9.36684863E+19;0.00000000;195343.703;3000.00000
5200.00000;276.031494;9.52587231E+19;0.00000000;196443.016;3000.00000
5300.00000;276.083008;9.68489600E+19;0.00000000;197530.156;3000.00000
5400.00000;276.083008;9.84391969E+19;0.00000000;198605.469;3000.00000
5500.00000;276.083008;1.00029434E+20;0.00000000;199669.266;3000.00000
5600.00000;276.134491;1.01619671E+20;0.00000000;200721.844;3000.00000
5700.00000;276.134491;1.03209907E+20;0.00000000;201763.500;3000.00000
5800.00000;276.134491;1.04800144E+20;0.00000000;202794.500;3000.00000
5900.00000;276.134491;1.06390381E+20;0.00000000;203815.125;3000.00000
6000.00000;276.134491;1.07980618E+20;0.00000000;204825.641;3000.00000
6100.00000;276.134491;1.09570855E+20;0.00000000;205826.281;3000.00000
6200.00000;276.134491;1.11161092E+20;0.00000000;206817.281;3000.00000
6300.00000;276.185974;1.12751329E+20;0.00000000;207798.875;3000.00000
6400.00000;276.185974;1.14341565E+20;0.00000000;208771.281;3000.00000
6500.00000;276.185974;1.15931802E+20;0.00000000;209734.719;3000.00000
6600.00000;276.185974;1.17522039E+20;0.00000000;210689.375;3000.00000
6700.00000;276.185974;1.19112276E+20;0.00000000;211635.469;3000.00000
6800.00000;276.237488;1.20702513E+20;0.00000000;212573.172;3000.00000
6900.00000;276.237488;1.22292750E+20;0.00000000;213502.672;3000.00000
7000.00000;276.237488;1.23882987E+20;0.00000000;214424.156;3000.00000
7100.00000;276.237488;1.25473224E+20;0.00000000;215337.781;3000.00000
7200.00000;276.237488;1.27063460E+20;0.00000000;216243.719;3000.00000
7300.00000;276.237488;1.28653697E+20;0.00000000;217142.141;3000.00000
7400.00000;276.237488;1.30243934E+20;0.00000000;218033.188;3000.00000
7500.00000;276.237488;1.31834171E+20;0.00000000;218917.016;3000.00000
7600.00000;276.289001;1.33424408E+20;0.00000000;219793.766;3000.00000
7700.00000;276.289001;1.35014645E+20;0.00000000;220663.562;3000.00000
7800.00000;276.289001;1.36604882E+20;0.00000000;221526.562;3000.00000
7900.00000;276.289001;1.38195118E+20;0.00000000;222382.891;3000.00000
8000.00000;276.289001;1.39785355E+20;0.00000000;223232.672;3000.00000
8100.00000;276.289001;1.41375592E+20;0.00000000;224076.047;3000.00000
8200.00000;276.289001;1.42965829E+20;0.00000000;224913.109;3000.00000
8300.00000;276.340485;1.44556066E+20;0.00000000;225744.000;3000.00000
8400.00000;276.340485;1.46146303E+20;0.00000000;226568.812;3000.00000
8500.00000;276.340485;1.47736540E+20;0.00000000;227387.672;3000.00000
8600.00000;276.340485;1.49326785E+20;0.00000000;228200.672;3000.00000
8700.00000;276.340485;1.50917031E+20;0.00000000;229007.922;3000.00000
8800.00000;276.340485;1.52507277E+20;0.00000000;229809.516;3000.00000
8900.00000;276.340485;1.54097522E+20;0.00000000;230605.562;3000.00000
9000.00000;276.340485;1.55687768E+20;0.00000000;231396.141;3000.00000
9100.00000;276.340485;1.57278014E+20;0.00000000;232181.359;3000.00000
9200.00000;276.340485;1.58868259E+20;0.00000000;232961.312;3000.00000
9300.00000;276.391968;1.60458505E+20;0.00000000;233736.078;3000.00000
9400.00000;276.391968;1.62048750E+20;0.00000000;234505.734;3000.00000
9500.00000;276.391968;1.63638996E+20;0.00000000;235270.375;3000.00000
9600.00000;276.391968;1.65229242E+20;0.00000000;236030.078;3000.00000
9700.00000;276.391968;1.66819487E+20;0.00000000;236784.922;3000.00000
9800.00000;276.391968;1.68409733E+20;0.00000000;237534.984;3000.00000
9900.00000;276.391968;1.69999979E+20;0.00000000;238280.344;3000.00000
10000.0000;276.391968;1.71590224E+20;0.00000000;239021.062;3000.00000
10100.0000;276.391968;1.73180470E+20;0.00000000;239757.219;3000.00000
10200.0000;276.391968;1.74770716E+20;0.00000000;240488.891;3000.00000
10300.0000;276.391968;1.76360961E+20;0.00000000;241216.141;3000.00000
10400.0000;276.443481;1.77951207E+20;0.00000000;241939.031;3000.00000
10500.0000;276.443481;1.79541453E+20;0.00000000;242657.625;3000.00000
10600.0000;276.443481;1.81131698E+20;0.00000000;243371.984;3000.00000
10700.0000;276.443481;1.82721944E+20;0.00000000;244082.172;3000.00000
10800.0000;276.443481;1.84312190E+20;0.00000000;244788.266;3000.00000
10900.0000;276.443481;1.85902435E+20;0.00000000;245490.297;3000.00000
11000.0000;276.443481;1.87492681E+20;0.00000000;246188.344;3000.00000
11100.0000;276.443481;1.89082927E+20;0.00000000;246882.453;3000.00000
11200.0000;276.443481;1.90673172E+20;0.00000000;247572.688;3000.00000
11300.0000;276.443481;1.92263418E+20;0.00000000;248259.094;3000.00000
11400.0000;276.443481;1.93853664E+20;0.00000000;248941.719;3000.00000
11500.0000;276.443481;1.95443909E+20;0.00000000;249620.625;3000.00000
11600.0000;276.469238;1.97034155E+20;0.00000000;250295.859;3000.00000
11700.0000;276.494995;1.98624401E+20;0.00000000;250967.469;3000.00000
11800.0000;276.494995;2.00214646E+20;0.00000000;251635.500;3000.00000
11900.0000;276.494995;2.01804892E+20;0.00000000;252300.016;3000.00000
12000.0000;276.494995;2.03395138E+20;0.00000000;252961.047;3000.00000
12100.0000;276.494995;2.04985383E+20;0.00000000;253618.641;3000.00000
12200.0000;276.494995;2.06575629E+20;0.00000000;254272.844;3000.00000
12300.0000;276.494995;2.08165875E+20;0.00000000;254923.703;3000.00000
12400.0000;276.494995;2.09756120E+20;0.00000000;255571.250;3000.00000
12500.0000;276.494995;2.11346366E+20;0.00000000;256215.531;3000.00000
12600.0000;276.494995;2.12936612E+20;0.00000000;256856.594;3000.00000
12700.0000;276.494995;2.14526857E+20;0.00000000;257494.469;3000.00000
12800.0000;276.494995;2.16117103E+20;0.00000000;258129.203;3000.00000
12900.0000;276.494995;2.17707349E+20;0.00000000;258760.828;3000.00000
13000.0000;276.494995;2.19297594E+20;0.00000000;259389.391;3000.00000
13100.0000;276.520752;2.20887840E+20;0.00000000;260014.922;3000.00000
13200.0000;276.520752;2.22478085E+20;0.00000000;260637.453;3000.00000
13300.0000;276.546478;2.24068331E+20;0.00000000;261257.031;3000.00000
13400.0000;276.546478;2.25658577E+20;0.00000000;261873.688;3000.00000
13500.0000;276.546478;2.27248822E+20;0.00000000;262487.438;3000.00000
13600.0000;276.546478;2.28839068E+20;0.00000000;263098.344;3000.00000
13700.0000;276.546478;2.30429314E+20;0.00000000;263706.438;3000.00000
13800.0000;276.546478;2.32019559E+20;0.00000000;264311.719;3000.00000
13900.0000;276.546478;2.33609805E+20;0.00000000;264914.250;3000.00000
14000.0000;276.546478;2.35200051E+20;0.00000000;265514.062;3000.00000
14100.0000;276.546478;2.36790296E+20;0.00000000;266111.156;3000.00000
14200.0000;276.546478;2.38380542E+20;0.00000000;266705.594;3000.00000
14300.0000;276.546478;2.39970788E+20;0.00000000;267297.406;3000.00000
14400.0000;276.546478;2.41561033E+20;0.00000000;267886.594;3000.00000
14500.0000;276.546478;2.43151279E+20;0.00000000;268473.219;3000.00000
14600.0000;276.546478;2.44741525E+20;0.00000000;269057.281;3000.00000
14700.0000;276.546478;2.46331770E+20;0.00000000;269638.812;3000.00000
14800.0000;276.572205;2.47922016E+20;0.00000000;270217.844;3000.00000
14900.0000;276.572205;2.49512262E+20;0.00000000;270794.406;3000.00000
15000.0000;276.572205;2.51102507E+20;0.00000000;271368.531;3000.00000
15100.0000;276.572205;2.52692753E+20;0.00000000;271940.250;3000.00000
15200.0000;276.597961;2.54282999E+20;0.00000000;272509.562;3000.00000
15300.0000;276.597961;2.55873244E+20;0.00000000;273076.500;3000.00000
15400.0000;276.597961;2.57463490E+20;0.00000000;273641.094;3000.00000
15500.0000;276.597961;2.59053736E+20;0.00000000;274203.375;3000.00000
15600.0000;276.597961;2.60643981E+20;0.00000000;274763.375;3000.00000
15700.0000;276.597961;2.62234227E+20;0.00000000;275321.094;3000.00000
15800.0000;276.597961;2.63824473E+20;0.00000000;275876.562;3000.00000
15900.0000;276.597961;2.65414718E+20;0.00000000;276429.812;3000.00000
16000.0000;276.597961;2.67004964E+20;0.00000000;276980.844;3000.00000
16100.0000;276.597961;2.68595210E+20;0.00000000;277529.688;3000.00000
16200.0000;276.597961;2.70185455E+20;0.00000000;278076.375;3000.00000
